structure_id,id,parent_structure_id,acronym
0,795,323,PAG
1,223,157,ARH
2,731,714,ORBm
3,266,242,LSv
4,914,141,PD
5,207,386,AP
6,1049,1073,FL
7,609,864,SPA
8,35,323,III
9,425,669,VISpl
10,1009,997,fiber tracts
11,926,909,ENTm
12,38,157,PVH
13,1105,278,IA
14,59,444,IMD
15,302,339,SCs
16,390,157,SO
17,591,165,CLI
18,262,856,RT
19,872,165,DR
20,101,607,VCO
21,1061,1100,PPT
22,879,254,RSPd
23,312782574,669,VISli
24,287,809,BAC
25,271,339,SAG
26,1048,370,GRN
27,723,714,ORBl
28,922,315,PERI
29,1084,822,PRE
30,30,157,PVa
31,1039,720,GR
32,564,904,MS
33,604,1117,NI
34,342,835,SI
35,491,331,MM
36,238,1117,RPO
37,619,698,NLOT
38,972,315,PL
39,272,141,AVPV
40,689,141,VLPO
41,867,1132,PB
42,378,453,SSs
43,985,500,MOp
44,409,669,VISl
45,88,467,AHN
46,63,467,PVHd
47,362,444,MD
48,741,709,VPMpc
49,880,987,DTN
50,135,370,AMB
51,614,290,TU
52,422,406,SPFp
53,1109,141,PS
54,126,141,PVp
55,596,904,NDB
56,931,987,PG
57,255,239,AV
58,403,278,MEA
59,726,1080,DG
60,978,938,PGRNl
61,515,467,MPN
62,333,275,SH
63,907,51,PCN
64,27,1014,IGL
65,184,315,FRP
66,361,322,SSp-tr
67,173,290,RCH
68,1002,247,AUDp
69,131,703,LA
70,718,709,VPL
71,725,709,VPLpc
72,295,703,BLA
73,170,1008,LGd
74,146,1117,PRNr
75,202,701,MV
76,230,379,RPA
77,886,254,RSPv
78,746,714,ORBvl
79,414,406,SPFm
80,616,323,CUN
81,104,95,AId
82,483,958,MH
83,580,339,NB
84,583,703,CLA
85,23,278,AAA
86,1029,138,POL
87,706,1100,OP
88,677,315,VISC
89,1037,822,POST
90,133,141,PVpo
91,797,290,ZI
92,966,942,EPv
93,353,322,SSp-n
94,460,339,MEV
95,445,386,SPVO
96,310,275,SF
97,1025,1073,PRM
98,1093,987,PRNc
99,693,467,VMH
100,642,386,NTB
101,423,375,CA2
102,151,698,AOB
103,749,323,VTA
104,763,141,OV
105,280,987,B
106,951,645,PYR
107,369,322,SSp-ul
108,292,278,BA
109,830,141,DMH
110,226,290,LPO
111,765,370,x
112,653,370,VI
113,531,1100,MPT
114,599,51,CM
115,475,1008,MG
116,507,698,MOB
117,319,703,BMA
118,218,138,LP
119,231,323,AT
120,356,290,PST
121,225,701,SPIV
